model,time,total,correct,accuracy
llava-7b-dpo-loss-lr-0.3x2e-5_checkpoint-10000,2024-09-06 00:25:53,191.0,91,47.64397905759162
llava-v1.5-7b,2024-09-06 00:38:32,191.0,91,47.64397905759162
llava-v1.5-7b_full_V_ft-DPO-mask-blur-4-stage-mm-simdpo-mine-all-1-epoch-beta0.3-LLM-off-lr-2e-5_checkpoint-7000,2024-09-06 00:53:54,191.0,91,47.64397905759162
llava-v1.5-7b,2024-09-06 01:25:28,191.0,91,47.64397905759162
llava-v1.5-7b_full_V_ft-DPO-mask-blur-4-stage-mm-simdpo-mine-all-1-epoch-beta0.3-LLM-off-lr-2e-5_checkpoint-7000,2024-09-06 01:43:31,191.0,91,47.64397905759162
llava-v1.5-7b-base-tuning-vision-2e-5_checkpoint-8000,2024-09-06 02:47:12,191.0,91,47.64397905759162
llava-v1.5-7b-base-tuning-vision-2e-5_checkpoint-8000,2024-09-06 03:25:26,191.0,91,47.64397905759162
llava-v1.5-7b_full_V_ft-DPO-mask-blur-4-stage-mm-simdpo-mine-all-1-epoch-beta0.3-LLM-off-lr-1e-4_checkpoint-8000,2024-09-06 03:37:17,191.0,91,47.64397905759162
llava-v1.5-7b_full_V_ft-DPO-mask-blur-4-stage-mm-simdpo-mine-all-1-epoch-beta0.3-LLM-off-lr-2e-5_checkpoint-7000,2024-09-06 03:48:06,191.0,91,47.64397905759162
llava-v1.5-7b_full_V_ft-DPO-mask-blur-4-stage-mm-simdpo-mine-all-1-epoch-beta0.3-LLM-off-lr-1e-4_checkpoint-8000,2024-09-06 04:02:24,191.0,91,47.64397905759162
llava-v1.5-7b_full_V_ft-DPO-mask-blur-4-stage-mm-simdpo-mine-all-1-epoch-beta0.3-LLM-off-lr-2e-5_checkpoint-7000,2024-09-06 04:02:24,191.0,91,47.64397905759162
llava-v1.5-7b,2024-09-06 04:02:24,191.0,91,47.64397905759162
llava-v1.5-7b,2024-09-06 04:04:36,191.0,91,47.64397905759162
llava-v1.5-7b,2024-09-06 04:05:23,191.0,91,47.64397905759162
llava-v1.5-7b,2024-09-06 04:05:37,191.0,91,47.64397905759162
llava-v1.5-7b,2024-09-06 04:11:05,191.0,91,47.64397905759162
llava-v1.5-7b_full_V_ft-0.1-epoch-beta0.3-LLM-on-lr-2e-7_checkpoint-8000,2024-09-06 04:24:42,191.0,79,41.361256544502616
llava-7b-dpo-loss-lr-0.3x2e-5_checkpoint-10000,2024-09-06 04:37:21,191.0,91,47.64397905759162
llava-7b-dpo-loss-lr-0.3x2e-5_checkpoint-20500,2024-09-06 19:35:00,191.0,91,47.64397905759162
llava-7b-dpo-loss-lr-0.3x2e-5_checkpoint-20500,2024-09-06 19:49:03,191.0,93,48.69109947643979
llava-v1.5-7b,2024-09-06 20:02:17,191.0,91,47.64397905759162
llava-v1.5-7b_full_V_ft-0.1-epoch-beta0.3-LLM-on-lr-2e-7_checkpoint-8000,2024-09-07 02:56:17,191.0,78,40.83769633507853
llava-v1.5-7b,2024-09-07 03:08:59,191.0,93,48.69109947643979
llava-7b-dpo-loss-lr-0.3x2e-5-proj-on_checkpoint-1000,2024-09-07 05:09:45,191.0,84,43.97905759162304
llava-v1.5-7b_full_V_ft-0.1-epoch-beta0.3-LLM-on-lr-2e-7_checkpoint-8000,2024-09-07 09:04:58,191.0,78,40.83769633507853
llava-v1.5-7b-base-LLM-on-vision-on-lr-2e-5-0.4ep_checkpoint-4000,2024-09-09 01:39:01,191.0,91,47.64397905759162
llava-v1.5-7b-base-LLM-on-vision-off-lr-2e-5_checkpoint-4000,2024-09-09 01:53:27,191.0,90,47.12041884816754
llava-8b-sft-loss-vision-on-llm-off_checkpoint-13000,2024-09-12 21:26:44,191.0,87,45.54973821989529
llama3-llava-next-8b,2024-09-15 10:45:20,191.0,87,45.54973821989529
llava-8b-sft-loss-vision-on-llm-on-lora-full,2024-09-15 11:29:02,191.0,89,46.596858638743456
llava-8b-dpo-loss-vision-on-llm-on-2e-8-full,2024-09-17 00:14:50,191.0,88,46.07329842931937
llava-v1.5-7b,2024-12-03 18:41:58,191.0,91,47.64397905759162
llava-1.5-7b-vsr-flip,2024-12-04 00:44:41,191.0,92,48.167539267015705
llava-v1.5-7b,2024-12-27 14:59:44,191.0,91,47.64397905759162
llava-v1.5-7b,2024-12-28 05:50:23,191.0,72,37.696335078534034
llava-1.5-7b-dis-xlip-2e-5,2024-12-29 16:26:18,191.0,67,35.07853403141361
